# This file should be in the working directory.
#
# Data from
# 'X-ray Data Booklet'
# Thompson, A.C. et al.
# Lawrence Berkeley National Laboratory, University of California, 2009,
# except those marked with *, adapted from 
# 'The Lund/LBNL Nuclear Data Search'
# Version 2.0, February 1999
# S.Y.F. Chu, L.P. Ekström and R.B. Firestone,
# and those marked with %, from fit to previouosly mentioned data.
#
# Photon energies and relative intensities of K-, L-, and M-shell lines, arranged by
# element. An intensity of 100 is assigned to the strongest line in each shell for each element.
#
# Z    Line     E (keV)   Relative intensity (%)
#------------------------------------------------
83 Bi  Kβ2      89.83     9 
*84 Po  Kα1      79.29     100
84 Po  Kα2      76.863    60
84 Po  Kβ1      89.807    23
84 Po  Kβ3      89.256    12
84 Po  Kβ2      92.317    8
84 Po  Kβ4      92.618    2
84 Po  Kβ5      90.363    1
84 Po  Lα1      11.13     100
84 Po  Lβ1      13.443    86
84 Po  Lβ2      13.328    25
84 Po  Lγ1      15.742    18
84 Po  Lα2      11.016    11
84 Po  Ll       9.658     6
84 Po  Lβ3      13.635    4
84 Po  Lβ4      13.084    4
84 Po  Lβ5      13.778    4
84 Po  Lγ6      16.203    4
84 Po  Lh       12.085    2
84 Po  Lβ6      12.823    2
84 Po  Lγ3      16.213    2
84 Po  Lγ2      16.077    1
%85 At  Kα1      81.51    100
85 At  Kα2      78.94    60
85 At  Kβ1      92.3093    35
85 At  Kβ2      95.2173    11
85 At  L      13.31275    100
*86 Rn  Kα1     83.787     100
86 Rn  Kα2      81.069    62
86 Rn  Kβ1      94.868    22
86 Rn  Kβ3      94.247    12
86 Rn  Kβ2      97.53     8
86 Rn  Kβ4      97.853    3
86 Rn  Kβ5      95.449    1
86 Rn  Lα1      11.726    100
86 Rn  Lβ1      14.316    85
86 Rn  Lβ2      14.066    26
86 Rn  Lγ1      16.77     19
86 Rn  Lα2      11.598    11
86 Rn  Ll       10.137    6
86 Rn  Lβ3      14.519    5
86 Rn  Lβ4      13.898    4
86 Rn  Lβ5      14.564    4
86 Rn  Lγ6      17.28     4
86 Rn  Lh       12.855    2
86 Rn  Lγ3      17.258    2
86 Rn  Lβ6      13.52     2
86 Rn  Lγ2      17.104    2
*87 Fr  Kα1      86.105    100
87 Fr  Kα2      83.231    61
87 Fr  Kβ1      97.474    23
87 Fr  Kβ3      96.815    12
87 Fr  Kβ2      100.214   9
87 Fr  Kβ4      100.548   3
87 Fr  Kβ5      98.068    1
87 Fr  Lα1      12.031    100
87 Fr  Lβ1      14.77     79
87 Fr  Lβ2      14.443    26
87 Fr  Lγ1      17.302    18
87 Fr  Lα2      11.896    11
87 Fr  Lβ3      14.978    9
87 Fr  Lβ4      14.319    9
87 Fr  Ll      10.381     6
87 Fr  Lβ5      14.967    4
87 Fr  Lγ6      17.839    4
87 Fr  Lγ3      17.8      4
87 Fr  Lγ2      17.635    3
87 Fr  Lh      13.255     2
87 Fr  Lβ6      13.877    2
*88 Ra  Kα1      88.471    100
88 Ra  Kα2      85.431    61
88 Ra  Kβ1      100.13    23
88 Ra  Kβ3      99.432    12
88 Ra  Kβ2      102.948   9
88 Ra  Kβ4      103.296   3
88 Ra  Kβ5      100.739   1
88 Ra  Lβ1      15.236    100
88 Ra  Lα1      12.339    86
88 Ra  Lγ1      17.848    23
88 Ra  Lβ2      14.825    23
88 Ra  Lα2      12.196    10
88 Ra  Ll       10.622    5
88 Ra  Lγ6      18.412    5
88 Ra  Lβ5      15.375    4
88 Ra  Lh       13.662    3
88 Ra  Lβ3      15.447    2
88 Ra  Lβ4      14.749    2
88 Ra  Lβ6      14.236    2
88 Ra  Lγ3      18.353    1
88 Ra  Lγ2      18.177    1
%89 Ac  Kα1      90.884    100
89 Ac  Kα2      87.670    62
89 Ac  Kβ1      102.850   24
89 Ac  Lα1      12.652    100
89 Ac  Lα2      12.500    86
89 Ac  Lβ1      15.713    26
90 Th  Mα1      2.996     100 
90 Th  Ll       11.119    6 
90 Th  Lα2      12.81     11 
90 Th  Lα1      12.969    100 
90 Th  Lβ2      15.624    26 
90 Th  Lβ1      16.202    69 
90 Th  Lγ1      18.983    16 
90 Th  Kα2      89.953    62 
90 Th  Kα1      93.35     100 
90 Th  Kβ3      104.831   12 
90 Th  Kβ1      105.609   24 
90 Th  Kβ2      108.64    9
*91 Pa  Kα1      95.863    100
91 Pa  Kα2      92.282    61
91 Pa  Kβ1      108.422   23
91 Pa  Kβ3      107.595   12
91 Pa  Kβ2      111.486   9
91 Pa  Kβ4      111.87    3
91 Pa  Kβ5      109.072   1
91 Pa  Lα1      13.291    100
91 Pa  Lβ1      16.708    81
91 Pa  Lβ2      16.007    26
91 Pa  Lγ1      19.571    20
91 Pa  Lα2      13.127    11
91 Pa  Ll       11.372    7
91 Pa  Lβ5      16.639    5
91 Pa  Lβ4      16.104    5
91 Pa  Lβ3      16.931    5
91 Pa  Lγ6      20.217    4
91 Pa  Lh       14.953    2
91 Pa  Lγ2      19.888    2
91 Pa  Lγ3      20.101    2
91 Pa  Lβ6      15.35     2 
92 U   Mα1      3.171     100 
92 U   Ll       11.618    7 
92 U   Lα2      13.439    11 
92 U   Lα1      13.615    100 
92 U   Lβ2      16.428    26 
92 U   Lβ1      17.22     61 
92 U   Lγ1      20.167    15 
92 U   Kα2      94.665    62 
92 U   Kα1      98.439    100 
92 U   Kβ3      110.406   13 
92 U   Kβ1      111.3     24 
92 U   Kβ2      114.53    9
*93 Np  Kα1      101.059   100
93 Np  Kα2      97.069    60
93 Np  Kβ1      114.234   22
93 Np  Kβ3      113.303   11
93 Np  Kβ2      117.463   9
93 Np  Kβ4      117.875   3
93 Np  Kβ5      114.912   1
93 Np  Lα1      13.946    100
93 Np  Lβ1      17.751    55
93 Np  Lβ2      16.816    27
93 Np  Lβ4      17.061    19
93 Np  Lβ3      17.992    17
93 Np  Lγ1      20.784    13
93 Np  Lα2      13.761    11
93 Np  Lγ2      21.099    8
93 Np  Lγ3      21.342    7
93 Np  Ll       11.871    7
93 Np  Lβ5      17.505    7
93 Np  Lγ6      21.491    3
93 Np  Lβ6      16.109    2
93 Np  Lh       15.861    1
*94 Pu  Kα1      103.734   100
94 Pu  Kα2      99.525    68
94 Pu  Kβ1      117.228   26
94 Pu  Kβ3      116.244   14
94 Pu  Kβ2      120.539   10
94 Pu  Kβ4      120.969   4
94 Pu  Kβ5      117.919   1
94 Pu  Lα1      14.282    100
94 Pu  Lβ1      18.296    82
94 Pu  Lβ2      17.235    25
94 Pu  Lγ1      21.42     19
94 Pu  Lα2      14.087    11
94 Pu  Ll       12.124    6
94 Pu  Lβ5      17.949    5
94 Pu  Lβ4      17.557    4
94 Pu  Lβ3      18.541    4
94 Pu  Lγ6      22.153    4
94 Pu  Lh       16.333    2
94 Pu  Lβ6      16.498    2
94 Pu  Lγ2      21.724    2
94 Pu  Lγ3      21.981    2
*95 Am  Kα1      105.472   100
95 Am  Kα2      102.03    63
95 Am  Kβ1      120.284   23
95 Am  Kβ3      119.243   12
95 Am  Kβ2      123.681   9
95 Am  Kβ4      124.128   3
95 Am  Kβ5      120.989   1
95 Am  Lα1      15.62     100
95 Am  Lβ1      18.856    47
95 Am  Lβ4      18.069    27
95 Am  Lβ2      18.656    27
95 Am  Lβ3      19.11     22
95 Am  Lγ2      22.37     12
95 Am  Lγ1      22.072    12
95 Am  Lα2      15.414    11
95 Am  Lγ3      22.643    10
95 Am  Ll       13.377    7
95 Am  Lβ5      19.399    6
95 Am  Lγ6      22.836    2
95 Am  Lβ6      17.89     2
95 Am  Lh       16.819    1
*96 Cm  Kα1      109.271   100
96 Cm  Kα2      104.59    65
96 Cm  Kβ1      123.403   24
96 Cm  Kβ3      122.304   12
96 Cm  Kβ2      126.888   9
96 Cm  Kβ4      127.352   4
96 Cm  Kβ5      124.124   1
96 Cm  Lα1      14.961    100
96 Cm  Lβ1      19.427    95
96 Cm  Lβ2      18.081    27
96 Cm  Lγ1      22.735    23
96 Cm  Lα2      14.746    11
96 Cm  Ll       12.633    7
96 Cm  Lβ5      18.853    6
96 Cm  Lγ6      23.527    5
96 Cm  Lβ4      18.589    4
96 Cm  Lβ3      19.688    3
96 Cm  Lh       17.314    3
96 Cm  Lβ6      17.286    2
96 Cm  Lγ2      23.028    2
96 Cm  Lγ3      23.319    1
*97 Bk  Kα1      112.121   100
97 Bk  Kα2      107.185   64
97 Bk  Kβ1      126.58    24
97 Bk  Kβ3      125.418   12
97 Bk  Kβ2      130.152   9
97 Bk  Kβ4      130.63    4
97 Bk  Kβ5      127.316   1
97 Bk  Lα1      15.308    100
97 Bk  Lβ1      20.018    57
97 Bk  Lβ2      18.508    27
97 Bk  Lγ1      23.416    15
97 Bk  Lα2      15.082    11
97 Bk  Lβ4      19.118    10
97 Bk  Lβ3      20.28     8
97 Bk  Ll       12.89     7
97 Bk  Lβ5      19.311    6
97 Bk  Lγ2      23.698    5
97 Bk  Lγ3      24.007    4
97 Bk  Lγ6      24.241    3
97 Bk  Lβ6      17.687    2
97 Bk  Lh       17.826    2
*98 Cf  Kα1      115.032   100
98 Cf  Kα2      109.831   64
98 Cf  Kβ1      129.823   24
98 Cf  Kβ3      128.594   13
98 Cf  Kβ2      133.483   9
98 Cf  Kβ4      133.979   4
98 Cf  Kβ5      130.574   1
98 Cf  Lα1      15.66     100
98 Cf  Lβ1      20.624    97
98 Cf  Lβ2      18.946    27
98 Cf  Lγ1      24.117    25
98 Cf  Lα2      15.423    11
98 Cf  Ll       13.146    8
98 Cf  Lβ5      19.778    6
98 Cf  Lγ6      24.971    5
98 Cf  Lh       18.347    3
98 Cf  Lβ6      18.094    2
98 Cf  Lβ4      19.665    1
98 Cf  Lβ3      20.894    1
98 Cf  Lγ2      24.39     1
*99 Es  Kα1      118.012   100
99 Es  Kα2      112.531   65
99 Es  Kβ1      133.137   24
99 Es  Kβ3      131.838   13
99 Es  Kβ2      136.886   10
99 Es  Kβ4      137.399   4
99 Es  Kβ5      133.904   1
99 Es  Lα1      16.016    100
99 Es  Lβ1      21.248    50
99 Es  Lβ2      19.387    27
99 Es  Lβ4      20.224    14
99 Es  Lγ1      24.836    13
99 Es  Lα2      15.767    11
99 Es  Lβ3      21.523    10
99 Es  Ll       13.403    8
99 Es  Lβ5      20.25     7
99 Es  Lγ2      25.099    6
99 Es  Lγ3      25.446    5
99 Es  Lγ6      25.723    3
99 Es  Lβ6      18.501    2
99 Es  Lh       18.884    1
