# This file should be in the working directory.
#
# Data from
# 'X-ray Data Booklet'
# Thompson, A.C. et al.
# Lawrence Berkeley National Laboratory, University of California, 2009,
# except those marked with *, adapted from 
# 'The Lund/LBNL Nuclear Data Search'
# Version 2.0, February 1999
# S.Y.F. Chu, L.P. Ekström and R.B. Firestone,
# and those marked with %, from fit to previouosly mentioned data.
#
# Photon energies and relative intensities of K-, L-, and M-shell lines, arranged by
# element. An intensity of 100 is assigned to the strongest line in each shell for each element.
#
# Z    Line     E (keV)   Relative intensity (%)
#------------------------------------------------
39 Y   Lα1      1.923     100 
39 Y   Lβ1      1.996     57 
39 Y   Kα2      14.883    52 
39 Y   Kα1      14.958    100 
39 Y   Kβ3      16.726    8 
39 Y   Kβ1      16.738    15 
39 Y   Kβ2      17.015    3 
40 Zr  Ll       1.792     5 
40 Zr  Lα2      2.04      11 
40 Zr  Lα1      2.042     100 
40 Zr  Lβ1      2.124     54 
40 Zr  Lβ2,15   2.219     1 
40 Zr  Lγ1      2.303     2 
40 Zr  Kα2      15.691    52 
40 Zr  Kα1      15.775    100 
40 Zr  Kβ3      17.654    8 
40 Zr  Kβ1      17.668    15 
40 Zr  Kβ2      17.97     3 
41 Nb  Ll       1.902     5 
41 Nb  Lα2      2.163     11 
41 Nb  Lα1      2.166     100 
41 Nb  Lβ1      2.257     52 
41 Nb  Lβ2,15   2.367     3 
41 Nb  Lγ1      2.462     2 
41 Nb  Kα2      16.521    52 
41 Nb  Kα1      16.615    100 
41 Nb  Kβ3      18.606    8 
41 Nb  Kβ1      18.622    15 
41 Nb  Kβ2      18.953    3 
42 Mo  Ll       2.016     5 
42 Mo  Lα2      2.29      11 
42 Mo  Lα1      2.293     100 
42 Mo  Lβ1      2.395     53 
42 Mo  Lβ2,15   2.518     5 
42 Mo  Lγ1      2.623     3 
42 Mo  Kα2      17.374    52 
42 Mo  Kα1      17.479    100 
42 Mo  Kβ3      19.59     8 
42 Mo  Kβ1      19.608    15 
42 Mo  Kβ2      19.965    3 
43 Tc  Ll       2.122     5 
43 Tc  Lα2      2.42      11 
43 Tc  Lα1      2.424     100 
43 Tc  Lβ1      2.538     54 
43 Tc  Lβ2,15   2.674     7 
43 Tc  Lγ1      2.792     3 
43 Tc  Kα2      18.251    53 
43 Tc  Kα1      18.367    100 
43 Tc  Kβ3      20.599    8 
43 Tc  Kβ1      20.619    16 
43 Tc  Kβ2      21.005    4 
44 Ru  Ll       2.253     4 
44 Ru  Lα2      2.554     11 
44 Ru  Lα1      2.559     100 
44 Ru  Lβ1      2.683     54 
44 Ru  Lβ2,15   2.836     10 
44 Ru  Lγ1      2.965     4 
44 Ru  Kα2      19.15     53 
44 Ru  Kα1      19.279    100 
44 Ru  Kβ3      21.635    8 
44 Ru  Kβ1      21.657    16 
44 Ru  Kβ2      22.074    4 
45 Rh  Ll       2.377     4 
45 Rh  Lα2      2.692     11 
45 Rh  Lα1      2.697     100 
45 Rh  Lβ1      2.834     52 
45 Rh  Lβ2,15   3.001     10 
45 Rh  Lγ1      3.144     5 
45 Rh  Kα2      20.074    53 
45 Rh  Kα1      20.216    100 
45 Rh  Kβ3      22.699    8 
45 Rh  Kβ1      22.724    16 
45 Rh  Kβ2      23.173    4 
46 Pd  Ll       2.503     4 
46 Pd  Lα2      2.833     11 
46 Pd  Lα1      2.839     100 
46 Pd  Lβ1      2.99      53 
46 Pd  Lβ2,15   3.172     12 
46 Pd  Lγ1      3.329     6 
46 Pd  Kα2      21.02     53 
46 Pd  Kα1      21.177    100 
46 Pd  Kβ3      23.791    8 
46 Pd  Kβ1      23.819    16 
46 Pd  Kβ2      24.299    4 
47 Ag  Ll       2.634     4 
47 Ag  Lα2      2.978     11 
47 Ag  Lα1      2.984     100 
47 Ag  Lβ1      3.151     56 
47 Ag  Lβ2,15   3.348     13 
47 Ag  Lγ1      3.52      6 
47 Ag  Kα2      21.99     53 
47 Ag  Kα1      22.163    100 
47 Ag  Kβ3      24.912    9 
47 Ag  Kβ1      24.942    16 
47 Ag  Kβ2      25.456    4 
48 Cd  Ll       2.767     4 
48 Cd  Lα2      3.127     11 
48 Cd  Lα1      3.134     100 
48 Cd  Lβ1      3.317     58 
48 Cd  Lβ2,15   3.528     15 
48 Cd  Lγ1      3.717     6 
